0000000        deadbeef        00000000        ffffffff        ffffffff
        357 276 255 336  \0  \0  \0  \0 377 377 377 377 377 377 377 377
0000020        ffffffff        ffffffff        ffffffff        ffffffff
        377 377 377 377 377 377 377 377 377 377 377 377 377 377 377 377
*
0000400


 Started ....
244 | ./Actor/Actor.cpp	setup:138 	|  CborQueue 3FFF1984:0 
12598 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12682 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
12683 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12683 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
12688 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12693 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
12699 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12783 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
12783 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12784 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
12789 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12794 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
12800 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12883 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
12884 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12884 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
12889 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12894 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
12900 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12984 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
12985 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12985 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
12990 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
12995 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
13001 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13085 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
13086 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13086 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
13091 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13096 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
13102 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13186 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
13186 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13187 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
13192 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13197 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
13203 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13287 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
13287 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13288 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
13293 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13298 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
13304 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13388 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
13389 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13389 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
13394 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13399 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
13405 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13489 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
13490 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13490 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
13495 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13500 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
13506 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13590 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
13590 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13591 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
13596 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13601 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
13607 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13691 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
13692 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13692 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
13697 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13702 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
13708 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13792 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
13793 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13793 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
13798 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13803 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
13809 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13893 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
13894 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13894 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
13899 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13904 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
13910 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13994 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
13994 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
13995 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
14000 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14005 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
14011 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14095 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
14096 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14096 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
14101 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14106 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
14112 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14196 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
14197 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14197 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
14202 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14207 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
14213 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14297 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
14298 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14298 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
14303 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14308 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
14314 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14398 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
14399 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14399 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
14404 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14409 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
14415 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14499 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
14499 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14500 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
14505 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14510 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
14516 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14600 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
14601 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14601 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
14606 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14611 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
14617 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14624 | ./Actor/DWM1000Tag.cpp	onReceive:351 	|  SYS_STATUS :28200F2
14627 | ./Actor/DWM1000Tag.cpp	onReceive:359 	|  RX Timeout
14634 | ./Actor/DWM1000Tag.cpp	onReceive:368 	|  status reg.:28200F2,interrupts : 0
14641 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/dwm1000/polls 
14646 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14651 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/dwm1000/interrupts 
14657 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14701 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
14701 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14702 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
14707 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14712 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
14718 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14802 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
14803 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14803 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
14808 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14813 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
14819 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14903 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
14904 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14904 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
14909 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
14914 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
14920 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15004 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
15005 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15005 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
15010 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15015 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
15021 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15105 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
15106 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15106 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
15111 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15116 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
15122 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15206 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
15207 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15207 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
15212 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15217 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
15223 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15307 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
15307 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15308 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
15313 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15318 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
15324 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15408 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
15408 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15409 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
15414 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15419 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
15425 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15509 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
15510 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15510 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
15515 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15520 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
15526 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15610 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
15611 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15611 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
15616 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15621 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
15627 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15711 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
15712 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15712 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
15717 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15722 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
15728 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15812 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
15812 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15813 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
15818 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15823 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
15829 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15913 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
15913 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15914 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
15919 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
15924 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
15930 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16014 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
16014 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16015 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
16020 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16025 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
16031 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16115 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
16116 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16116 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
16121 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16126 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
16132 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16216 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
16217 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16217 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
16222 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16227 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
16233 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16317 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
16318 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16318 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
16323 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16328 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
16334 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16418 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
16419 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16419 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
16424 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16429 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
16435 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16519 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
16520 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16520 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
16525 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16530 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
16536 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16620 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
16621 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16621 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
16626 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16631 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
16637 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16721 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
16721 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16722 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
16727 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16732 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
16738 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16822 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
16823 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16823 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
16828 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16833 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
16839 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16923 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
16924 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16924 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
16929 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
16934 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
16940 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
17024 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
17025 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
17025 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
17030 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
17035 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
17041 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
17125 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
17126 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
17126 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
17131 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
17136 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
17142 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
17226 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
17227 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
17227 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
17232 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
17237 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/heap_size 
17243 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
17327 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/online 
17328 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
17328 | ./Actor/Mqtt.cpp	sendPublish:274 	|  TOPIC tag_1/system/up_time 
17333 | ./Actor/Mqtt.cpp	onReceive:297 	| READY
